gene,gene_symbol,auc,max_auc,mean_positive,mean_negative,mean_delta,pvalue,n_positive,n_negative,fdr
ENSG00000101194_SLC17A9,SLC17A9,1,1,1.00201052,0,1.00201052,0.02107057013,4,4,0.09595375723
ENSG00000134321_RSAD2,RSAD2,0,1,0,1.44650197,-1.44650197,0.02107057013,4,4,0.09595375723
ENSG00000147168_IL2RG,IL2RG,0,1,0,2.639693092,-2.639693092,0.02107057013,4,4,0.09595375723
ENSG00000153902_LGI4,LGI4,1,1,1.948741621,0,1.948741621,0.02107057013,4,4,0.09595375723
ENSG00000228570_NUTM2E,NUTM2E,0,1,0,2.532714525,-2.532714525,0.02107057013,4,4,0.09595375723
ENSG00000229672_AL450322.2,AL450322.2,1,1,1.659694762,0,1.659694762,0.02107057013,4,4,0.09595375723
ENSG00000262117_BCAR4,BCAR4,1,1,1.148065284,0,1.148065284,0.02107057013,4,4,0.09595375723
ENSG00000285508_AL034430.1,AL034430.1,0,1,0,4.990691998,-4.990691998,0.02107057013,4,4,0.09595375723
ENSG00000115602_IL1RL1,IL1RL1,1,1,3.386512373,0.3969865667,2.989525806,0.02651872196,4,4,0.09595375723
ENSG00000122254_HS3ST2,HS3ST2,1,1,2.10763201,0.2505596007,1.857072409,0.02651872196,4,4,0.09595375723
ENSG00000140465_CYP1A1,CYP1A1,1,1,2.232225447,0.2505596007,1.981665846,0.02651872196,4,4,0.09595375723
ENSG00000205838_TTC23L,TTC23L,0,1,0.4148324498,2.258684804,-1.843852355,0.02651872196,4,4,0.09595375723
ENSG00000221866_PLXNA4,PLXNA4,1,1,1.54193624,0.2320511922,1.309885047,0.02651872196,4,4,0.09595375723
ENSG00000223485_LINC01615,LINC01615,1,1,1.690617365,0.2320511922,1.458566173,0.02651872196,4,4,0.09595375723
ENSG00000225383_SFTA1P,SFTA1P,1,1,1.539973022,0.2384416552,1.301531367,0.02651872196,4,4,0.09595375723
ENSG00000254094_AC078852.2,AC078852.2,1,1,2.476761803,0.2505596007,2.226202202,0.02651872196,4,4,0.09595375723
ENSG00000268288_AL589765.5,AL589765.5,0,1,0.2640329406,1.749339908,-1.485306967,0.02651872196,4,4,0.09595375723
ENSG00000000003_TSPAN6,TSPAN6,0,1,9.056409986,9.511664437,-0.4552544508,0.02857142857,4,4,0.09595375723
ENSG00000000419_DPM1,DPM1,0,1,9.089675241,9.354916224,-0.2652409828,0.02857142857,4,4,0.09595375723
ENSG00000000460_C1orf112,C1orf112,1,1,8.823678571,8.346886217,0.476792354,0.02857142857,4,4,0.09595375723
ENSG00000000971_CFH,CFH,0,1,7.552864594,8.472319307,-0.9194547131,0.02857142857,4,4,0.09595375723
ENSG00000001084_GCLC,GCLC,1,1,11.38891772,11.15922457,0.2296931461,0.02857142857,4,4,0.09595375723
ENSG00000001561_ENPP4,ENPP4,0,1,6.685910053,7.588354063,-0.9024440093,0.02857142857,4,4,0.09595375723
ENSG00000001630_CYP51A1,CYP51A1,0,1,11.82382862,12.61565044,-0.7918218197,0.02857142857,4,4,0.09595375723
ENSG00000001631_KRIT1,KRIT1,1,1,10.24309717,9.882878561,0.3602186078,0.02857142857,4,4,0.09595375723
ENSG00000002016_RAD52,RAD52,1,1,9.131949027,8.269775514,0.8621735131,0.02857142857,4,4,0.09595375723
ENSG00000002549_LAP3,LAP3,0,1,10.18141273,10.43730407,-0.2558913422,0.02857142857,4,4,0.09595375723
ENSG00000002822_MAD1L1,MAD1L1,1,1,8.937523845,8.432148488,0.5053753578,0.02857142857,4,4,0.09595375723
ENSG00000003056_M6PR,M6PR,0,1,11.12256836,11.40643278,-0.2838644269,0.02857142857,4,4,0.09595375723
ENSG00000003393_ALS2,ALS2,1,1,9.972514651,9.81018726,0.1623273913,0.02857142857,4,4,0.09595375723
ENSG00000003400_CASP10,CASP10,0,1,8.355668701,8.820432696,-0.4647639951,0.02857142857,4,4,0.09595375723
ENSG00000003402_CFLAR,CFLAR,1,1,12.39642039,12.15672485,0.2396955399,0.02857142857,4,4,0.09595375723
ENSG00000004455_AK2,AK2,0,1,12.1548233,12.39448446,-0.2396611611,0.02857142857,4,4,0.09595375723
ENSG00000004478_FKBP4,FKBP4,0,1,12.47150867,12.69848966,-0.2269809851,0.02857142857,4,4,0.09595375723
ENSG00000004660_CAMKK1,CAMKK1,1,1,9.66806016,9.223829014,0.4442311465,0.02857142857,4,4,0.09595375723
ENSG00000004777_ARHGAP33,ARHGAP33,1,1,7.522972553,5.979560659,1.543411894,0.02857142857,4,4,0.09595375723
ENSG00000004779_NDUFAB1,NDUFAB1,0,1,9.908683816,10.27862132,-0.3699374996,0.02857142857,4,4,0.09595375723
ENSG00000004799_PDK4,PDK4,1,1,11.72448723,10.44058904,1.283898191,0.02857142857,4,4,0.09595375723
ENSG00000004864_SLC25A13,SLC25A13,1,1,9.418645114,9.156755923,0.2618891905,0.02857142857,4,4,0.09595375723
ENSG00000004961_HCCS,HCCS,0,1,8.88144458,9.466245011,-0.5848004307,0.02857142857,4,4,0.09595375723
ENSG00000004975_DVL2,DVL2,1,1,9.988962364,9.736396989,0.2525653752,0.02857142857,4,4,0.09595375723
ENSG00000005001_PRSS22,PRSS22,1,1,8.855168009,8.329796237,0.5253717721,0.02857142857,4,4,0.09595375723
ENSG00000005189_REXO5,REXO5,1,1,6.637305221,5.969639099,0.667666122,0.02857142857,4,4,0.09595375723
ENSG00000005206_SPPL2B,SPPL2B,1,1,10.02189575,9.417146931,0.6047488219,0.02857142857,4,4,0.09595375723
ENSG00000005249_PRKAR2B,PRKAR2B,0,1,4.754053778,6.610784809,-1.856731032,0.02857142857,4,4,0.09595375723
ENSG00000005339_CREBBP,CREBBP,1,1,11.95532194,11.72739033,0.227931613,0.02857142857,4,4,0.09595375723
ENSG00000005486_RHBDD2,RHBDD2,0,1,9.004657695,9.415064673,-0.4104069786,0.02857142857,4,4,0.09595375723
ENSG00000005884_ITGA3,ITGA3,1,1,12.97852106,12.42564202,0.5528790387,0.02857142857,4,4,0.09595375723
ENSG00000005893_LAMP2,LAMP2,0,1,11.09298544,11.51564323,-0.4226577887,0.02857142857,4,4,0.09595375723
