gene,gene_symbol,auc,max_auc,mean_positive,mean_negative,mean_delta,pvalue,n_positive,n_negative,fdr
ENSG00000000971_CFH,CFH,0,1,7.372523834,7.946054885,-0.5735310516,0.002164502165,6,6,0.07241319142
ENSG00000006007_GDE1,GDE1,0,1,10.36233777,11.04016807,-0.6778302949,0.002164502165,6,6,0.07241319142
ENSG00000006015_REX1BD,REX1BD,1,1,9.205693912,8.945043457,0.2606504546,0.002164502165,6,6,0.07241319142
ENSG00000007923_DNAJC11,DNAJC11,1,1,10.09278366,9.784178651,0.3086050083,0.002164502165,6,6,0.07241319142
ENSG00000007944_MYLIP,MYLIP,0,1,7.706656573,8.263911536,-0.5572549634,0.002164502165,6,6,0.07241319142
ENSG00000009724_MASP2,MASP2,1,1,3.512149615,1.776490882,1.735658733,0.002164502165,6,6,0.07241319142
ENSG00000013306_SLC25A39,SLC25A39,1,1,12.3250402,12.11687474,0.2081654583,0.002164502165,6,6,0.07241319142
ENSG00000015133_CCDC88C,CCDC88C,1,1,10.40393783,10.00965404,0.394283783,0.002164502165,6,6,0.07241319142
ENSG00000023041_ZDHHC6,ZDHHC6,1,1,10.22006909,10.01134804,0.2087210413,0.002164502165,6,6,0.07241319142
ENSG00000025156_HSF2,HSF2,0,1,7.840977698,8.257290291,-0.4163125931,0.002164502165,6,6,0.07241319142
ENSG00000026025_VIM,VIM,1,1,7.461846281,6.262946678,1.198899603,0.002164502165,6,6,0.07241319142
ENSG00000035862_TIMP2,TIMP2,0,1,10.76720642,11.37558962,-0.6083832007,0.002164502165,6,6,0.07241319142
ENSG00000040531_CTNS,CTNS,1,1,8.47338615,8.144926944,0.3284592066,0.002164502165,6,6,0.07241319142
ENSG00000040933_INPP4A,INPP4A,1,1,10.28239552,9.832685488,0.4497100314,0.002164502165,6,6,0.07241319142
ENSG00000043514_TRIT1,TRIT1,1,1,9.261570446,8.902141658,0.3594287878,0.002164502165,6,6,0.07241319142
ENSG00000049246_PER3,PER3,1,1,7.269467459,5.833192646,1.436274813,0.002164502165,6,6,0.07241319142
ENSG00000051620_HEBP2,HEBP2,0,1,11.8249399,11.93036307,-0.1054231668,0.002164502165,6,6,0.07241319142
ENSG00000052749_RRP12,RRP12,1,1,11.10690951,10.7685006,0.338408907,0.002164502165,6,6,0.07241319142
ENSG00000055483_USP36,USP36,1,1,11.46605926,10.98478686,0.4812723957,0.002164502165,6,6,0.07241319142
ENSG00000057757_PITHD1,PITHD1,0,1,9.118861304,9.597382877,-0.4785215723,0.002164502165,6,6,0.07241319142
ENSG00000059588_TARBP1,TARBP1,1,1,11.30647609,10.74433999,0.5621361068,0.002164502165,6,6,0.07241319142
ENSG00000060656_PTPRU,PTPRU,1,1,13.12112708,12.73411214,0.3870149344,0.002164502165,6,6,0.07241319142
ENSG00000062822_POLD1,POLD1,1,1,10.40922652,9.943204319,0.4660221985,0.002164502165,6,6,0.07241319142
ENSG00000063180_CA11,CA11,1,1,7.248998126,6.221215587,1.027782539,0.002164502165,6,6,0.07241319142
ENSG00000063322_MED29,MED29,0,1,9.0210463,9.526267015,-0.505220715,0.002164502165,6,6,0.07241319142
ENSG00000063854_HAGH,HAGH,0,1,9.318962539,9.473711033,-0.1547484936,0.002164502165,6,6,0.07241319142
ENSG00000064545_TMEM161A,TMEM161A,1,1,10.17263997,9.63388477,0.5387551981,0.002164502165,6,6,0.07241319142
ENSG00000065000_AP3D1,AP3D1,1,1,12.42472507,12.24075506,0.1839700074,0.002164502165,6,6,0.07241319142
ENSG00000065485_PDIA5,PDIA5,1,1,9.395687883,8.930374508,0.4653133746,0.002164502165,6,6,0.07241319142
ENSG00000065526_SPEN,SPEN,1,1,11.8904702,11.54863487,0.3418353314,0.002164502165,6,6,0.07241319142
ENSG00000065809_FAM107B,FAM107B,0,1,8.616673322,9.410539198,-0.7938658761,0.002164502165,6,6,0.07241319142
ENSG00000066422_ZBTB11,ZBTB11,0,1,10.34226414,10.44229716,-0.10003302,0.002164502165,6,6,0.07241319142
ENSG00000066455_GOLGA5,GOLGA5,0,1,9.588756181,9.895223019,-0.306466838,0.002164502165,6,6,0.07241319142
ENSG00000066739_ATG2B,ATG2B,1,1,10.87330289,10.46571132,0.407591569,0.002164502165,6,6,0.07241319142
ENSG00000067113_PLPP1,PLPP1,0,1,7.44828599,7.81806802,-0.3697820297,0.002164502165,6,6,0.07241319142
