gene,coefficient,abs_coefficient
ENSG00000178462_TUBAL3,0.1151338691,0.1151338691
ENSG00000269106_AC012313.7,0.105097614,0.105097614
ENSG00000242082_SLC5A4-AS1,0.1024640002,0.1024640002
ENSG00000287338_AL929091.1,0.09638444563,0.09638444563
ENSG00000137090_DMRT1,0.094765576,0.094765576
ENSG00000283528_TCAF2C,0.09106081703,0.09106081703
ENSG00000287133_AC007279.2,-0.08770150982,0.08770150982
ENSG00000274600_RIMBP3B,-0.08702519079,0.08702519079
ENSG00000261116_AL049555.1,-0.08668708906,0.08668708906
ENSG00000112164_GLP1R,0.08638531602,0.08638531602
ENSG00000256443_AP003559.1,0.08537741222,0.08537741222
ENSG00000257366_AC138969.3,0.08406400102,0.08406400102
ENSG00000172548_NIPAL4,0.0840485903,0.0840485903
ENSG00000166220_TBATA,0.08353574252,0.08353574252
ENSG00000281453_TGFB2-OT1,-0.08342446971,0.08342446971
ENSG00000171564_FGB,-0.07991379773,0.07991379773
ENSG00000223764_LINC02593,0.07666958886,0.07666958886
ENSG00000135502_SLC26A10,0.0730519202,0.0730519202
ENSG00000267072_NAGPA-AS1,0.07270757713,0.07270757713
ENSG00000277758_FO681492.1,0.07233656905,0.07233656905
ENSG00000260566_AC127459.1,-0.0715559526,0.0715559526
ENSG00000240224_UGT1A5,0.07102280462,0.07102280462
ENSG00000269397_AC011503.2,-0.07011670177,0.07011670177
ENSG00000100302_RASD2,0.06915400185,0.06915400185
ENSG00000213578_CPLX3,0.06898626743,0.06898626743
ENSG00000272477_AC144521.1,-0.06730002495,0.06730002495
ENSG00000187634_SAMD11,0.0669673131,0.0669673131
ENSG00000261305_AC005586.2,-0.06680257421,0.06680257421
ENSG00000173947_PIFO,-0.06656699055,0.06656699055
ENSG00000170961_HAS2,-0.06548687432,0.06548687432
ENSG00000242375_AL590705.3,-0.06438236113,0.06438236113
ENSG00000273542_HIST1H4K,-0.06410741533,0.06410741533
ENSG00000159784_FAM131B,-0.06382224562,0.06382224562
ENSG00000231290_APCDD1L-DT,0.06309119612,0.06309119612
ENSG00000261670_AC012213.2,-0.06290170467,0.06290170467
ENSG00000111335_OAS2,-0.06145098381,0.06145098381
ENSG00000273271_AP000254.2,-0.06095302857,0.06095302857
ENSG00000263244_AC087190.3,-0.06025226978,0.06025226978
ENSG00000273514_FOXD4L6,0.05999133676,0.05999133676
ENSG00000142449_FBN3,0.05968835326,0.05968835326
ENSG00000124126_PREX1,0.0595789206,0.0595789206
ENSG00000189108_IL1RAPL2,0.05891846398,0.05891846398
ENSG00000261247_GOLGA8T,0.05880563239,0.05880563239
ENSG00000183246_RIMBP3C,0.05869425831,0.05869425831
ENSG00000250548_LINC01303,0.05867409499,0.05867409499
ENSG00000270681_AC095055.1,-0.0583814411,0.0583814411
ENSG00000271843_AC012557.1,-0.05834268212,0.05834268212
ENSG00000215853_RPTN,-0.05825265008,0.05825265008
ENSG00000287043_AL392083.2,0.0578772923,0.0578772923
ENSG00000253327_RAD21-AS1,-0.05742510249,0.05742510249
ENSG00000187950_OVCH1,0.05736873711,0.05736873711
ENSG00000013016_EHD3,0.05673792289,0.05673792289
ENSG00000233117_LINC00702,-0.0566853389,0.0566853389
ENSG00000169418_NPR1,0.05627679173,0.05627679173
ENSG00000169213_RAB3B,-0.05597298452,0.05597298452
ENSG00000166840_GLYATL1,0.05555602043,0.05555602043
ENSG00000167034_NKX3-1,-0.05532959856,0.05532959856
ENSG00000253641_AC104964.1,0.0552857824,0.0552857824
ENSG00000254468_AC069287.1,-0.05508113702,0.05508113702
ENSG00000260287_TBC1D3G,0.05496736613,0.05496736613
ENSG00000274933_TBC1D3I,0.0547691157,0.0547691157
ENSG00000142621_FHAD1,-0.05474105199,0.05474105199
ENSG00000277067_CU634019.1,-0.05412138509,0.05412138509
ENSG00000126778_SIX1,-0.05396593611,0.05396593611
ENSG00000225163_LINC00618,0.05342608317,0.05342608317
ENSG00000178115_GOLGA8Q,0.05316280211,0.05316280211
ENSG00000272468_AL021807.1,-0.05263570586,0.05263570586
ENSG00000183091_NEB,0.0525477284,0.0525477284
